id,surfweight,year,age,sex,ethnicity,edu,lfs,partner,parent,number_children,tenure,hh_income,nzdep,migrant,disability,home_afford,life_satisfy,life_worth,health,tereo,gov_tereo,selfactual,trust,trust_police,trust_media,trust_parliament,voted,mwb,housecold,housedamp,moves,access_med,access_green,access_pt,neigh_connect,neigh_crime,victim,discrim,lonely,hardtalk
1,3238.951,2021,1,1,4,1,3,0,0,0,3,3,6,5,0,10,10,8,5,1,4,3,8,10,10,7,0,5,3,1,,,,,,4,0,0,2,2
2,6468.014,2021,5,0,1,3,1,1,0,0,1,3,1,6,0,5,8,9,5,1,5,3,9,9,5,7,1,18,1,1,,,,,,3,0,0,1,2
3,4822.019,2021,2,0,4,3,1,0,1,2,3,1,8,1,0,9,8,8,4,1,3,4,5,8,6,7,1,5,3,1,,,,,,1,0,0,1,2
4,4549.766,2021,5,1,4,1,1,1,0,0,1,3,4,1,0,7,8,8,4,1,2,4,7,9,5,3,1,19,1,1,,,,,,3,0,0,2,1
5,3157.55,2021,4,0,4,3,1,1,1,1,2,3,5,2,1,4,8,9,4,1,2,4,6,9,4,5,1,18,1,2,,,,,,1,0,0,1,2
6,2717.784,2021,1,0,4,1,3,0,0,0,1,3,3,1,0,6,8,9,4,1,4,4,8,9,6,9,1,17,1,2,,,,,,3,0,0,2,1
7,13441.86,2021,5,0,4,3,1,1,0,0,1,3,2,1,0,7,8,8,3,1,3,4,8,9,5,7,1,18,2,2,,,,,,3,0,1,2,3
8,7413.058,2021,4,0,4,4,1,1,1,1,3,3,2,6,0,10,7,8,5,3,4,3,7,8,6,8,1,13,1,1,,,,,,5,0,0,3,3
9,547.0136,2021,4,1,3,4,1,1,1,1,1,3,5,6,0,4,7,9,3,2,2,3,5,8,5,3,1,11,1,1,,,,,,3,0,1,1,1
10,8311.392,2021,5,0,4,3,1,0,0,0,1,1,7,1,0,3,7,8,4,1,2,4,7,8,3,7,1,15,1,1,,,,,,3,0,0,1,1
11,1921.758,2021,2,1,4,2,3,0,0,0,3,1,1,1,0,10,4,3,3,1,4,5,7,7,4,6,1,10,2,1,,,,,,1,0,0,2,2
12,8762.334,2021,3,0,4,1,1,1,1,4,1,3,7,2,0,5,8,9,5,2,4,5,7,9,3,7,1,16,1,1,,,,,,4,0,0,3,3
13,1437.464,2021,3,0,4,2,3,1,1,3,3,3,7,1,0,6,8,9,2,2,5,4,7,8,7,10,1,8,3,2,,,,,,3,0,0,1,2
14,3288.369,2021,6,1,4,3,3,1,0,0,2,2,2,1,0,10,10,10,3,1,3,5,8,9,5,6,1,20,1,1,,,,,,4,0,0,1,3
15,1969.839,2021,5,1,4,1,3,1,0,0,2,2,3,1,0,8,8,8,3,1,2,4,0,3,0,3,1,20,1,2,,,,,,3,0,0,1,2
16,13647.07,2021,1,1,4,1,1,0,0,0,3,3,6,5,0,10,10,8,5,1,4,3,8,10,10,7,0,5,3,1,,,,,,4,0,0,2,2
17,2916.332,2021,4,0,1,1,1,0,0,0,3,2,9,1,0,10,7,7,4,2,3,5,6,8,4,6,0,16,1,2,,,,,,5,1,0,2,4
18,9848.456,2021,6,1,4,4,3,1,0,0,2,2,1,6,0,7,8,8,3,1,3,3,8,9,7,6,1,19,1,1,,,,,,3,0,0,1,2
19,509.5721,2021,2,0,1,1,1,1,1,1,3,1,7,5,0,4,9,8,5,1,5,5,7,7,5,6,0,12,3,3,,,,,,9,0,1,2,3
20,1576.869,2021,5,0,4,1,3,1,0,0,2,3,4,1,0,10,10,10,5,1,2,5,8,9,5,2,1,20,1,1,,,,,,5,0,0,1,2
21,1738.872,2021,2,0,4,4,3,0,1,4,2,2,10,1,1,9,9,8,3,2,5,4,7,6,3,5,1,16,3,2,,,,,,1,0,1,1,3
22,1780.911,2021,4,0,4,3,3,1,0,0,2,3,3,6,0,6,7,10,4,1,3,5,7,7,5,5,1,17,1,2,,,,,,4,0,0,3,4
23,1738.872,2021,6,0,4,1,3,0,0,0,2,1,10,1,0,5,8,10,4,1,3,4,8,10,8,9,1,14,1,1,,,,,,3,0,0,1,2
24,3044.037,2021,3,0,4,2,3,0,0,0,1,3,8,1,0,8,6,10,3,2,5,4,8,9,7,5,1,12,2,1,,,,,,3,0,1,2,3
25,1780.911,2021,5,0,4,3,3,0,0,0,3,1,4,1,0,7,7,9,3,1,4,5,8,8,6,2,1,13,4,3,,,,,,3,0,0,1,2
26,1433.499,2021,2,1,1,2,1,0,0,0,3,2,2,4,0,3,9,10,5,1,5,3,9,10,4,9,0,15,1,2,,,,,,9,0,1,3,3
27,2121.932,2021,2,0,1,4,1,1,0,0,3,3,5,1,0,9,9,8,5,1,4,5,7,8,5,7,1,20,2,1,,,,,,8,0,0,2,1
28,3125.268,2021,2,1,4,2,1,1,0,0,1,3,10,1,0,6,9,8,4,2,5,4,9,10,8,9,1,15,99,1,,,,,,9,0,0,1,3
29,832.1589,2021,5,0,1,1,1,0,0,0,2,1,6,2,0,8,8,8,4,1,5,4,5,7,6,7,1,13,2,1,,,,,,3,0,0,2,3
30,170.9162,2021,4,1,1,2,3,0,0,0,1,2,5,6,0,5,7,7,3,1,2,3,7,5,2,5,0,14,1,2,,,,,,3,0,0,2,1
31,2905.739,2021,6,1,3,1,1,1,0,0,1,2,8,3,1,4,8,8,4,1,3,3,6,4,3,5,0,12,1,1,,,,,,4,1,0,2,2
32,608.8338,2021,6,0,1,1,3,0,0,0,3,1,9,1,0,4,10,6,2,1,2,5,7,10,8,6,1,7,1,1,,,,,,5,0,0,1,2
33,4252.162,2021,5,1,4,1,1,1,0,0,2,3,4,1,0,6,8,8,3,1,2,3,7,5,0,1,1,15,2,1,,,,,,5,0,0,1,4
34,372.5075,2021,3,1,1,4,2,1,0,0,3,1,4,6,0,3,3,3,3,2,2,2,2,7,4,4,0,8,2,2,,,,,,5,0,0,2,5
35,333.477,2021,2,0,1,4,1,1,0,0,1,3,8,5,0,5,8,7,3,1,4,3,8,7,7,8,0,10,3,2,,,,,,9,0,1,2,2
36,832.2164,2021,6,1,3,2,1,1,0,0,2,2,5,6,0,7,8,7,3,1,4,3,7,9,7,7,1,19,1,1,,,,,,4,0,0,1,4
37,1615.944,2021,5,0,4,4,3,1,0,0,2,3,5,1,0,10,9,9,4,1,4,5,8,9,4,6,1,20,1,1,,,,,,3,0,0,1,1
38,1871.112,2021,5,0,4,3,3,1,0,0,2,3,5,1,0,10,8,8,3,1,3,4,4,7,4,5,1,15,1,1,,,,,,4,0,0,1,2
39,2140.873,2021,5,1,4,1,1,1,0,0,1,2,5,6,0,5,6,6,3,1,1,4,6,10,1,0,1,19,2,1,,,,,,5,0,0,1,1
40,2115.728,2021,5,0,4,1,3,1,1,1,3,3,10,1,0,10,10,8,4,2,4,5,8,6,9,1,1,20,1,2,,,,,,5,0,0,1,1
41,3741.336,2021,5,0,4,4,1,0,0,0,2,1,4,5,0,5,7,5,3,1,4,4,2,3,2,4,1,20,2,2,,,,,,3,0,1,2,3
42,3099.207,2021,2,1,4,4,1,0,0,0,3,1,7,4,0,5,9,9,5,1,5,5,4,10,0,3,0,18,99,1,,,,,,9,0,1,1,1
43,3743.211,2021,4,0,4,1,3,1,0,0,1,1,4,1,1,8,7,7,1,1,3,5,8,7,7,6,1,16,1,1,,,,,,5,0,0,1,1
44,1607.449,2021,3,0,1,2,1,1,0,0,1,3,6,1,0,7,7,7,3,1,2,2,4,5,0,1,1,17,2,2,,,,,,8,0,1,3,4
45,6400.557,2021,5,1,4,4,1,1,0,0,1,3,1,6,0,10,9,9,4,2,5,5,10,8,8,9,1,19,2,1,,,,,,2,0,0,1,2
46,2357.847,2021,6,0,4,2,3,0,0,0,3,1,3,6,0,7,10,9,5,2,3,4,7,7,1,1,1,18,1,1,,,,,,8,0,1,1,6
47,21099.87,2021,3,1,4,4,1,1,1,1,1,2,9,1,0,7,9,10,4,2,5,5,6,6,3,6,1,15,1,1,,,,,,8,0,1,2,1
48,10641.72,2021,6,0,4,1,1,1,0,0,2,1,8,1,0,8,9,10,4,1,3,5,8,9,5,2,1,20,1,1,,,,,,3,0,0,1,1
49,6388.127,2021,3,1,4,3,3,1,1,1,1,3,2,2,0,7,10,8,3,1,4,5,8,9,8,5,1,17,1,1,,,,,,3,0,0,1,5
50,6238.577,2021,3,1,3,3,1,0,0,0,2,2,5,6,0,10,7,8,3,1,3,4,6,7,7,7,1,20,1,2,,,,,,4,1,1,2,1
51,4290.248,2021,4,1,4,2,1,1,1,3,1,3,5,1,0,7,8,8,4,1,2,3,6,8,5,6,1,13,2,2,,,,,,3,0,0,1,4
52,1118.251,2021,4,1,2,4,1,0,0,0,2,3,5,2,0,10,8,7,5,1,4,4,7,8,7,7,1,20,2,1,,,,,,3,0,0,2,2
53,6307.572,2021,1,0,4,1,1,0,0,0,3,2,10,3,0,6,8,10,2,3,5,3,5,7,3,10,1,4,4,1,,,,,,8,0,0,2,4
54,751.2394,2021,4,0,1,1,1,0,0,0,1,2,8,1,0,3,2,3,3,1,2,3,0,7,5,5,1,6,2,2,,,,,,5,0,1,3,3
55,3195.356,2021,4,0,4,1,3,1,0,0,1,3,5,1,1,8,7,7,4,1,5,5,6,7,5,5,1,19,4,1,,,,,,3,0,0,1,1
56,1631.225,2021,6,0,2,4,1,1,0,0,2,2,10,1,0,4,8,8,4,1,3,4,6,6,3,8,1,16,2,2,,,,,,3,0,0,1,4
57,1631.225,2021,4,0,2,4,1,1,1,2,2,3,3,5,0,10,9,9,2,1,4,4,9,7,8,8,0,20,1,1,,,,,,3,0,0,1,1
58,17042.84,2021,6,0,4,3,1,1,0,0,1,2,2,1,0,6,6,5,3,1,2,4,4,8,5,7,1,20,2,2,,,,,,5,1,0,1,1
59,924.4025,2021,3,1,4,1,3,1,1,2,1,3,2,1,0,7,10,10,3,1,3,5,8,10,5,5,1,19,1,1,,,,,,4,0,0,1,3
60,187.1792,2021,4,0,1,4,3,1,0,0,1,3,5,1,0,8,8,10,4,3,5,5,7,7,3,5,1,16,1,1,,,,,,4,0,0,1,1
61,51.87635,2021,3,1,1,2,2,1,1,2,1,2,8,2,0,7,7,7,2,2,4,4,7,8,5,5,1,12,1,1,,,,,,8,1,0,1,2
62,171.9389,2021,5,1,2,1,1,0,0,0,3,2,10,6,0,9,10,10,4,1,5,4,10,10,10,10,1,11,2,2,,,,,,3,0,0,1,2
63,14496.11,2021,2,0,4,3,1,1,1,2,3,3,2,1,0,8,8,8,3,2,4,5,7,9,3,6,1,11,1,1,,,,,,5,0,0,1,2
64,2134.058,2021,2,0,4,4,3,1,0,0,1,3,4,1,0,7,9,8,4,1,5,5,7,9,3,2,1,16,2,2,,,,,,3,0,0,3,4
65,13753.64,2021,2,0,4,1,1,1,1,4,3,3,9,1,0,9,7,8,2,3,5,5,7,9,6,8,1,14,2,1,,,,,,3,0,0,4,3
66,10018.71,2021,6,1,4,2,1,1,0,0,2,1,5,6,0,7,8,7,3,1,3,4,8,9,5,6,1,19,1,1,,,,,,8,0,0,1,2
67,3093.085,2021,1,0,4,1,3,0,0,0,3,2,4,1,0,6,8,7,3,1,4,3,7,8,3,6,1,7,99,2,,,,,,3,0,0,2,2
68,11897.22,2021,6,1,4,1,1,0,0,0,2,1,5,1,0,10,10,10,2,1,1,5,8,10,7,7,1,18,1,1,,,,,,3,0,1,2,3
69,11897.22,2021,6,1,4,4,1,0,0,0,2,2,2,1,0,8,8,8,3,1,2,5,8,7,4,7,1,18,1,1,,,,,,3,0,0,1,4
70,8301.636,2021,2,1,4,4,1,0,0,0,3,2,7,1,0,9,9,9,5,1,3,5,7,7,5,8,1,17,3,1,,,,,,3,0,0,3,1
71,5460.035,2021,5,1,4,1,3,1,0,0,2,3,2,6,0,10,10,8,3,1,3,5,9,10,6,10,1,18,1,1,,,,,,3,0,1,1,1
72,2973.13,2021,2,0,3,1,1,0,1,1,3,1,10,1,0,0,5,10,4,1,5,3,3,0,0,0,0,7,1,2,,,,,,3,0,0,1,1
73,4151.167,2021,6,0,3,4,1,1,0,0,1,2,10,2,0,7,7,7,3,1,4,5,7,7,5,7,1,16,1,2,,,,,,8,0,0,1,2
74,12899.09,2021,3,0,4,2,1,1,0,0,3,3,9,5,0,7,8,8,4,1,3,4,9,10,9,10,0,19,1,1,,,,,,8,0,0,1,2
75,9731.357,2021,2,1,4,3,1,0,0,0,3,1,9,1,0,10,7,7,5,3,5,4,0,0,0,0,0,18,4,2,,,,,,3,1,1,1,2
76,12584.5,2021,1,1,4,1,1,1,1,2,3,2,8,2,0,5,8,7,3,1,4,5,7,8,4,7,1,9,1,1,,,,,,9,0,0,2,2
77,2109.995,2021,3,1,4,2,1,0,1,1,1,1,3,1,0,3,4,7,2,2,3,4,7,9,5,5,0,2,3,2,,,,,,8,0,0,1,3
78,13462.8,2021,6,0,4,1,1,0,0,0,2,3,5,6,0,5,10,10,4,1,3,5,9,10,7,5,1,20,1,1,,,,,,3,0,0,1,1
79,2568.609,2021,5,1,4,1,3,1,0,0,2,3,1,6,0,10,7,9,4,1,4,5,6,7,7,6,1,20,1,1,,,,,,3,1,0,1,1
80,2568.609,2021,2,1,4,1,3,1,1,4,3,3,9,1,0,7,9,10,5,4,5,5,5,9,5,7,1,17,2,1,,,,,,5,0,0,1,2
81,15639.58,2021,3,1,4,2,1,1,1,3,3,2,4,4,0,5,8,9,3,1,4,4,8,10,10,7,0,14,1,1,,,,,,8,0,0,2,1
82,9561.396,2021,3,0,4,4,1,1,1,3,1,3,8,6,0,3,8,8,3,2,5,5,7,7,5,5,1,13,2,2,,,,,,4,0,1,2,4
83,844.4471,2021,4,1,3,1,1,1,1,2,1,3,7,1,1,8,10,8,3,2,4,5,7,10,5,10,1,13,3,2,,,,,,5,0,0,2,2
84,220.7072,2021,6,1,3,4,3,1,0,0,2,3,5,1,0,10,10,10,5,1,4,5,7,8,9,5,1,20,1,1,,,,,,8,0,0,1,2
85,7218.453,2021,6,1,4,1,3,1,0,0,2,1,6,6,0,7,7,5,2,1,4,4,7,8,7,6,1,20,1,1,,,,,,3,0,0,2,3
86,24769.08,2021,6,1,4,2,1,1,0,0,1,3,5,6,0,7,7,8,2,1,3,4,7,7,6,7,1,20,1,1,,,,,,3,0,0,1,2
87,2658.929,2021,3,0,1,1,1,0,0,0,1,3,10,1,0,2,5,5,3,2,2,4,2,7,0,2,1,7,3,1,,,,,,4,1,0,1,3
88,1482.178,2021,6,1,3,1,1,0,0,0,2,1,4,1,0,5,5,5,3,1,2,4,5,1,5,5,1,12,4,2,,,,,,3,0,1,2,5
89,3120.535,2021,3,0,4,1,3,1,1,2,1,2,5,1,0,5,7,8,4,2,4,5,8,9,3,5,1,9,1,2,,,,,,4,1,0,3,2
90,6674.356,2021,4,1,4,1,3,1,1,4,1,2,10,1,0,7,9,8,4,1,2,4,6,9,8,6,1,18,1,1,,,,,,5,0,0,1,2
91,4305.789,2021,1,0,4,1,1,0,0,0,3,2,6,1,0,5,6,8,3,1,3,5,2,7,4,4,99,19,2,1,,,,,,5,0,1,2,1
92,10551.96,2021,6,0,4,1,1,1,0,0,2,2,6,1,1,10,10,10,4,1,1,4,8,8,0,0,1,20,1,1,,,,,,3,0,0,2,1
93,7292.791,2021,4,1,4,3,1,0,1,3,1,3,3,1,0,5,9,9,3,1,2,5,7,9,1,2,1,20,2,1,,,,,,3,1,0,1,2
94,4153.491,2021,3,1,4,1,1,1,1,2,1,3,5,3,0,6,8,10,4,1,4,5,8,7,2,1,1,17,1,1,,,,,,3,0,0,1,3
95,3513.902,2021,6,1,4,2,1,0,0,0,2,1,6,1,0,10,6,6,5,1,3,4,8,9,7,6,1,20,1,2,,,,,,3,0,0,2,2
96,7965.014,2021,6,1,4,1,1,0,0,0,3,1,5,6,1,10,8,8,3,1,5,4,8,8,4,5,1,18,1,1,,,,,,1,0,0,1,2
97,1191.051,2021,2,1,3,2,1,0,0,0,1,2,6,1,0,5,7,8,4,1,4,4,7,8,6,6,0,19,1,1,,,,,,3,0,0,1,2
98,735.8679,2021,3,1,3,1,3,1,1,1,1,3,4,1,0,7,7,7,3,1,3,2,5,8,0,0,1,19,1,1,,,,,,4,0,1,1,2
99,735.8679,2021,1,0,3,1,3,0,0,0,3,3,8,1,0,5,8,8,4,1,5,4,8,8,7,8,1,13,2,2,,,,,,9,0,1,2,3
100,13231.92,2021,3,0,4,4,1,1,0,0,3,1,5,5,0,5,4,7,3,1,2,3,6,6,3,5,0,13,1,2,,,,,,8,1,0,1,3
101,1274.723,2021,4,0,3,4,1,1,1,2,1,3,5,2,0,7,6,7,3,1,4,4,0,8,0,0,1,12,3,1,,,,,,5,0,1,1,2
102,3698.659,2021,3,0,4,4,1,0,0,0,3,1,4,6,0,6,8,8,3,1,4,5,5,9,5,8,1,14,2,1,,,,,,3,0,0,1,2
103,1665.667,2021,6,1,4,1,3,0,0,0,3,2,8,1,0,10,6,6,3,1,2,4,6,7,5,6,1,20,2,1,,,,,,3,0,1,3,3
104,15626.72,2021,4,0,4,3,1,1,0,0,1,2,2,1,0,4,7,8,3,2,2,3,6,8,5,5,1,13,1,2,,,,,,3,0,1,3,2
105,11384.6,2021,5,0,4,1,1,1,0,0,2,3,6,1,0,8,10,10,5,1,5,5,7,9,0,0,1,19,1,1,,,,,,3,0,0,1,4
106,1387.32,2021,2,1,3,4,1,1,1,3,2,3,9,1,1,10,5,6,3,2,5,3,3,1,0,6,0,16,1,1,,,,,,2,0,0,3,4
107,1449.125,2021,1,0,3,1,1,0,0,0,1,3,2,1,0,5,8,7,3,2,5,4,6,8,2,6,99,15,99,1,,,,,,9,0,0,1,4
108,1247.525,2021,1,0,3,1,3,0,0,0,1,2,5,1,0,7,8,8,4,1,4,4,8,6,3,4,1,13,3,2,,,,,,3,1,0,1,1
109,14718.05,2021,6,1,4,4,1,1,0,0,2,2,10,6,1,8,8,8,4,1,5,5,7,9,4,5,1,19,1,1,,,,,,8,0,0,1,1
110,4255.112,2021,5,1,4,1,3,1,0,0,2,2,2,1,0,7,5,8,4,1,5,3,4,8,1,5,1,20,1,1,,,,,,4,0,1,1,1
111,4931.304,2021,6,0,4,1,3,1,0,0,2,3,6,1,0,9,7,10,3,1,3,5,5,10,7,5,0,19,1,2,,,,,,9,0,0,1,5
112,6808.28,2021,5,0,4,4,1,0,0,0,2,3,7,2,0,8,7,8,5,1,4,4,9,9,8,5,1,20,3,2,,,,,,8,0,0,2,1
113,3289.908,2021,5,1,4,1,1,1,0,0,1,3,2,1,0,1,7,10,4,1,1,4,6,6,2,2,0,15,2,2,,,,,,9,0,1,2,3
114,1218.05,2021,6,0,3,3,1,0,0,0,2,2,10,1,0,4,8,8,5,3,5,3,5,2,0,0,1,9,3,2,,,,,,4,0,1,2,3
115,9845.4,2021,4,1,4,1,1,1,0,0,2,3,9,1,0,7,7,8,3,4,5,5,8,8,5,7,1,15,1,1,,,,,,3,1,0,2,3
116,3289.908,2021,6,0,4,4,1,0,0,0,2,1,5,1,0,6,7,10,3,1,3,5,8,9,6,6,1,18,1,1,,,,,,4,0,0,3,4
117,19151.94,2021,4,0,4,3,1,1,0,0,2,3,6,1,0,10,10,10,5,1,3,5,8,10,2,5,1,20,1,1,,,,,,8,0,0,1,1
118,1507.429,2021,3,1,4,4,3,0,0,0,2,3,9,1,0,8,7,7,4,1,3,4,7,8,4,5,1,20,99,1,,,,,,9,0,0,2,2
119,8655.939,2021,3,1,4,2,1,1,0,0,3,2,3,5,0,7,7,7,4,1,3,5,9,10,7,10,0,18,2,2,,,,,,8,0,0,2,3
120,18393.65,2021,3,1,4,2,1,0,0,0,1,1,10,1,0,7,6,7,2,1,1,4,0,0,5,6,0,4,4,1,,,,,,8,0,1,3,4
121,4244.958,2021,5,1,4,4,3,0,0,0,2,1,10,2,0,5,5,10,4,1,3,1,5,4,0,4,1,13,1,1,,,,,,8,0,0,1,1
122,9096.226,2021,2,1,4,1,1,0,0,0,3,1,8,1,1,2,2,2,4,2,3,3,2,8,8,9,0,9,4,3,,,,,,9,1,1,3,5
123,2017.217,2021,3,1,4,2,3,0,0,0,1,1,7,6,0,0,5,6,2,1,3,3,5,1,8,5,1,2,4,2,,,,,,4,1,0,3,4
124,5212.354,2021,4,0,4,4,1,0,0,0,2,2,5,1,0,8,9,9,3,3,4,5,8,8,3,8,1,20,1,1,,,,,,3,0,0,2,1
125,5069.009,2021,3,0,4,4,1,1,1,2,1,2,2,1,0,5,8,8,4,1,4,5,7,9,5,5,1,17,2,1,,,,,,3,0,0,1,1
126,9710.951,2021,6,1,4,3,1,1,0,0,2,1,5,2,0,8,9,10,4,1,4,5,7,8,1,10,1,18,1,1,,,,,,8,0,0,1,2
127,11113.38,2021,4,0,4,4,1,1,1,1,1,3,4,1,0,5,8,9,4,2,3,4,5,7,2,1,1,18,1,1,,,,,,3,1,1,1,2
128,411.3497,2021,6,0,3,4,3,0,0,0,2,3,4,1,0,10,9,10,4,3,2,4,5,7,5,4,1,20,2,2,,,,,,3,0,1,1,2
129,17759.38,2021,5,1,4,2,1,0,0,0,3,1,9,2,0,7,5,7,1,1,2,4,0,10,0,5,1,16,4,3,,,,,,8,0,0,3,5
130,662.8489,2021,6,0,3,3,1,1,0,0,1,2,4,2,0,8,8,10,3,2,4,4,5,8,2,5,1,12,2,1,,,,,,3,0,0,3,2
131,13141.51,2021,6,1,4,4,1,0,0,0,1,2,2,2,0,7,8,8,2,2,5,5,8,10,5,8,1,20,1,1,,,,,,3,0,0,1,2
132,3456.027,2021,4,0,4,1,3,1,0,0,2,3,2,6,0,5,8,7,3,1,4,4,8,9,7,9,1,14,3,2,,,,,,4,0,0,1,2
133,3937.541,2021,6,0,4,2,1,0,0,0,3,1,7,3,0,5,10,9,3,1,4,3,5,10,7,1,1,9,1,1,,,,,,5,0,0,2,2
134,2842.583,2021,1,1,1,1,1,0,0,0,2,3,4,4,0,10,10,10,5,2,5,3,5,10,7,6,99,10,2,2,,,,,,4,0,0,3,3
135,7503.244,2021,3,1,4,2,1,1,1,1,1,3,10,6,0,9,9,10,3,1,3,4,8,8,7,8,1,13,4,1,,,,,,9,0,0,3,4
136,6021.568,2021,5,0,3,2,1,1,0,0,2,3,1,6,0,3,8,7,4,1,3,5,7,7,7,7,1,16,1,1,,,,,,4,0,0,1,2
137,862.4892,2021,5,1,3,3,1,1,0,0,2,2,1,2,0,9,7,5,2,1,4,4,6,9,6,6,1,20,1,1,,,,,,3,0,0,2,3
138,74.58604,2021,3,0,4,3,2,1,1,3,1,3,3,6,0,5,9,8,3,2,4,5,7,9,5,5,1,10,1,2,,,,,,3,0,0,2,2
139,680.9493,2021,6,1,3,1,1,0,0,0,2,1,10,1,0,5,10,10,2,2,5,4,6,6,5,6,1,12,2,2,,,,,,5,1,0,1,3
140,662.7398,2021,2,0,1,2,1,1,1,1,2,3,1,4,0,8,8,9,4,1,3,3,7,8,10,9,1,13,1,1,,,,,,8,0,0,1,3
141,11437.78,2021,6,0,4,1,1,0,0,0,3,1,7,1,0,5,10,10,3,1,5,3,7,10,3,8,1,15,3,2,,,,,,8,0,0,1,1
142,1764.809,2021,3,1,4,1,3,1,1,2,1,3,5,3,0,6,8,10,4,1,4,5,8,7,2,1,1,17,1,1,,,,,,3,0,0,1,3
