id,surfweight,year,age,sex,ethnicity,edu,lfs,partner,parent,number_children,tenure,hh_income,nzdep,migrant,disability,home_afford,life_satisfy,life_worth,health,tereo,gov_tereo,selfactual,trust,trust_police,trust_media,trust_parliament,voted,mwb,housecold,housedamp,moves,access_med,access_green,access_pt,neigh_connect,neigh_crime,victim,discrim,lonely,hardtalk,surfweight_1,surfweight_2,surfweight_3,surfweight_4,surfweight_5,surfweight_6,surfweight_7,surfweight_8,surfweight_9,surfweight_10,surfweight_11,surfweight_12,surfweight_13,surfweight_14,surfweight_15,surfweight_16,surfweight_17,surfweight_18,surfweight_19,surfweight_20,surfweight_21,surfweight_22,surfweight_23,surfweight_24,surfweight_25,surfweight_26,surfweight_27,surfweight_28,surfweight_29,surfweight_30,surfweight_31,surfweight_32,surfweight_33,surfweight_34,surfweight_35,surfweight_36,surfweight_37,surfweight_38,surfweight_39,surfweight_40,surfweight_41,surfweight_42,surfweight_43,surfweight_44,surfweight_45,surfweight_46,surfweight_47,surfweight_48,surfweight_49,surfweight_50,surfweight_51,surfweight_52,surfweight_53,surfweight_54,surfweight_55,surfweight_56,surfweight_57,surfweight_58,surfweight_59,surfweight_60,surfweight_61,surfweight_62,surfweight_63,surfweight_64,surfweight_65,surfweight_66,surfweight_67,surfweight_68,surfweight_69,surfweight_70,surfweight_71,surfweight_72,surfweight_73,surfweight_74,surfweight_75,surfweight_76,surfweight_77,surfweight_78,surfweight_79,surfweight_80,surfweight_81,surfweight_82,surfweight_83,surfweight_84,surfweight_85,surfweight_86,surfweight_87,surfweight_88,surfweight_89,surfweight_90,surfweight_91,surfweight_92,surfweight_93,surfweight_94,surfweight_95,surfweight_96,surfweight_97,surfweight_98,surfweight_99,surfweight_100
1,3238.951,2021,1,1,4,1,3,0,0,0,3,3,6,5,0,10,10,8,5,1,4,3,8,10,10,7,0,5,3,1,,,,,,4,0,0,2,2,4019.976,3973.499,326.4191,3421.305,3517.241,3553.129,3038.392,2918.057,4141.901,2884.845,3017.232,3741.427,3123.643,3076.502,3178.824,3642.703,3189.548,3236.515,3252.251,3092.513,3346.34,3163.969,3314.718,3126.761,3092.86,3668.093,3161.076,3415.598,3104.162,3157.73,3110.733,3151.437,3478.485,3297.55,3335.124,3201.417,3185.691,3083.523,3222.829,3256.771,3239.273,3236.199,3258.488,3209.952,3260.748,3235.099,3328.646,3245.83,3229.467,3201.027,3292.831,3305.301,3141.148,3251.836,3277.226,3353.974,3248.011,3233.919,3166.039,3213.082,3302.063,3218.712,3164.96,3177.039,3253.438,3253.734,3217.543,3219.886,3273.684,3243.827,3268.305,3231.722,3249.793,3196.537,3225.282,3191.371,3256.318,3271.047,3293.961,3088.295,3225.478,3232.278,3337.854,3235.17,3320.382,3229.577,3189.763,3273.294,3215.623,3252.34,3196.66,3219.118,3281.037,3155.235,3158.122,3357.359,3241.474,3277.182,3237.038,3259.599
2,6468.014,2021,5,0,1,3,1,1,0,0,1,3,1,6,0,5,8,9,5,1,5,3,9,9,5,7,1,18,1,1,,,,,,3,0,0,1,2,7746.615,7883.509,595.0719,7264.232,7232.687,7326.455,6272.52,6125.119,7376.553,6162.521,6218.554,6772.822,6434.728,6550.41,6454.425,6684.743,6348.236,6492.884,6426.808,6425.583,6654.022,6681.595,6510.43,6286.931,6244.155,6825.29,6319.534,6779.463,6372.039,6294.139,6369.483,6377.934,6749.177,6657.165,6596.896,6326.722,6418.498,6377.226,6468.692,6447.858,6431.055,6417.263,6531.532,6477.476,6493.886,6454.657,6388.644,6531.905,6411.07,6483.167,6421.252,6483.968,6506.557,6382.002,6418.788,6447.728,6439.761,6492.442,6396.095,6722.092,6439.135,6485.922,6559.296,6333.43,6446.859,6503.899,6535.546,6415.202,6344.542,6427.431,6443.137,6451.246,6397.54,6497.611,6591.725,6671.486,6392.049,6364.962,6433.868,6479.093,6489.75,6480.671,6675.393,6564.067,6410.838,6426.835,6377.609,6437.63,6463.726,6473.106,6438.174,6496.954,6490.522,6492.385,6563.664,6448.874,6509.35,6412.882,6420.263,6363.643
3,4822.019,2021,2,0,4,3,1,0,1,2,3,1,8,1,0,9,8,8,4,1,3,4,5,8,6,7,1,5,3,1,,,,,,1,0,0,1,2,5897.485,5831.485,475.6612,5184.83,5425.478,5581.078,4362.168,4457.653,5901.955,4550.252,4569,5236.965,4645.223,4683.504,4690.358,5387.633,4702.445,4785.573,4806.8,4834.424,5109.282,4787.802,4958.518,4722.473,4581.356,5184.287,4623.976,5072.06,4649.497,4664.49,4660.449,4744.578,5150.627,4827.039,5012.859,4701.669,4723.495,4595.121,4817.199,4822.798,4845.095,4898.117,4859.303,4826.751,4679.2,4915.749,4769.998,4907.651,4883.086,4807.348,4869.664,4812.98,4665.343,4852.441,4814.785,4883.829,4907.106,4806.631,4806.8,4831.5,4749.297,4736.714,4739.545,5054.208,4784.208,4772.554,4903.868,4695.933,4797.002,4771.797,4784.274,5096.222,4840.484,4909.447,4662.519,4888.158,4746.922,4871.846,4891.155,4716.698,4841.765,4841.523,4867.128,4811.012,4762.694,4810.59,4773.203,4864.323,4884.925,4772.041,4841.693,4731.876,4743.809,4863.64,4920.559,4800.806,4785.477,4794.915,4857.034,4797.104
4,4549.766,2021,5,1,4,1,1,1,0,0,1,3,4,1,0,7,8,8,4,1,2,4,7,9,5,3,1,19,1,1,,,,,,3,0,0,2,1,5687.301,387.26,6057.051,5234.59,5198.314,5067.617,4195.893,4360.572,5461.732,4139.99,4297.616,5089.161,4461.504,4374.692,4371.469,4870.787,4826.698,4456.048,4446.849,4462.581,4835.996,4499.377,4530.083,4401.883,4394.498,5064.715,4411.554,4658.577,4431.541,4449.834,4402.755,4509.208,4789.993,4582.517,4673.026,4457.01,4580.103,4384.349,4541.689,4573.013,4552.412,4543.718,4533.897,4574.255,4407.707,4608.072,4486.902,4551.182,4619.439,4508.691,4647.455,4503.609,4710.435,4505.77,4502.278,4586.144,4482.91,4460.64,4543.32,4569.533,4654.825,4578.994,4494.042,4583.534,4476.938,4610.157,4487.482,4493.758,4650.708,4520.53,4528.67,4467.606,4557.559,4506.229,4663.758,4678.885,4561.677,4568.656,4529.343,4623.242,4521.712,4610.941,4466.604,4562.227,4492.805,4503.352,4571.152,4546.128,4562.715,4484.472,4563.935,4602.853,4505.191,4481.771,4426.575,4539.161,4533.41,4412.306,4468.719,4810.084
5,3157.55,2021,4,0,4,3,1,1,1,1,2,3,5,2,1,4,8,9,4,1,2,4,6,9,4,5,1,18,1,2,,,,,,1,0,0,1,2,3882.662,265.4199,4091.731,3552.493,3650.087,3701.493,3007.161,2941.611,3683.424,2942.501,3079.629,3360.349,3113.304,3085.021,3123.246,3337.804,3129.927,3149.23,3127.086,3105.139,3210.47,3171.91,3176.065,3109.309,3071.714,3428.085,3105.995,3219.535,3067.684,3047.01,3092.407,3158.288,3266.131,3184.723,3211.932,3109.956,3103.481,3201.559,3166.555,3150.12,3138.101,3208.855,3140.696,3132.745,3236.943,3158.379,3149.4,3171.55,3091.241,3127.795,3228.41,3169.422,3134.595,3100.16,3168.287,3202.432,3171.919,3134.192,3143.884,3124.448,3143.753,3256.527,3074.518,3216.68,3170.229,3156.772,3109.354,3248.857,3064.641,3155.133,3132.999,3199.281,3149.227,3143.865,3182.613,3102.409,3157.79,3121.246,3153.281,3150.738,3244.189,3181.707,3099.866,3243.332,3116.145,3147.496,3214.249,3156.798,3137.321,3093.397,3161.427,3168.219,3160.287,3120.597,3132.428,3192.286,3143.72,3187.29,3160.744,3111.22
6,2717.784,2021,1,0,4,1,3,0,0,0,1,3,3,1,0,6,8,9,4,1,4,4,8,9,6,9,1,17,1,2,,,,,,3,0,0,2,1,237.5093,3407.028,3879.042,2905.679,2884.589,2971.744,2427.082,2432.759,3662.122,2385.309,2567.33,3100.802,2689.215,2611.71,2571.919,3027.551,2706.718,2629.392,2653.66,2577.114,2855.678,2705.51,2706.757,2619.667,2742.892,3070.364,2652.072,2821.908,2602.991,2670.289,2579.872,2748.045,2962.402,2705.45,2810.072,2567.502,2694.815,2735.48,2703.001,2731.233,2712.811,2732.799,2698.121,2691.007,2597.973,2755.349,2749.521,2715.183,2777.43,2702.247,2643.628,2664.7,2647.691,2731.042,2756.842,2657.4,2709.368,2706.003,2870.315,2684.247,2675.676,2701.924,2813.588,2662.573,2773.872,2705.027,2693.989,2670.959,3009.959,2702.394,2715.589,2752.237,2742.23,2598.619,2607.298,2728.458,2775.334,2833.123,2693.668,2704.257,2733.116,2733.43,2633.092,2593.54,2907.086,2699.285,2695.407,2697.268,2776.451,2647.789,2667.146,2731.402,2719.561,2625.628,2785.337,2747.394,2792.722,2659.619,2744.35,2687.221
7,13441.86,2021,5,0,4,3,1,1,0,0,1,3,2,1,0,7,8,8,3,1,3,4,8,9,5,7,1,18,2,2,,,,,,3,0,1,2,3,1147.002,15778.27,16947.51,15111.58,15386.66,15850.25,13035.81,12930.3,15193.33,13160.13,12875.26,13998.11,13284.64,13130.64,13277.84,13808.33,13365.51,13428.43,14036.28,13197.77,14271.94,13254.43,13197.1,13383.29,13224.25,13901.25,13279.89,13614.13,13131.73,13093.81,13101.81,13152.17,14109.2,13359.7,14965.47,13135.8,13220.74,13113.81,13445.24,13522.85,13378.7,13564.33,13428.48,13378.89,13367.73,13451.87,13345.53,13803.22,13315.54,13316.6,13364.48,13448.8,13317.79,13462.23,13390.74,13570.47,13405.75,13351.8,13340.67,13333.27,13415.31,13581.91,13395.75,13199.69,13351.81,13446.23,13616.68,13811.89,13246.11,13596.73,13653.16,13325.21,13491.03,13444.71,13499.01,13407.54,13316.54,13361.26,13355.84,13642.43,13381.95,13480.93,13320.09,13712.28,13243.66,13463.69,13241.48,13295.22,13519.97,13297.54,13480.73,13664.21,13706.58,13379.25,13275.34,13547.83,13611.74,13502.11,13467.92,13210.95
8,7413.058,2021,4,0,4,4,1,1,1,1,3,3,2,6,0,10,7,8,5,3,4,3,7,8,6,8,1,13,1,1,,,,,,5,0,0,3,3,8898.82,9151.509,9594.303,8198.858,8308.206,624.0927,6945.012,6905.451,8603.297,6994.262,7143.802,8096.901,7343.77,7352.839,7128.967,7901.642,7242.868,7237.072,7461.818,7268.032,7677.264,7569.991,7342.1,7283.488,7339.13,7983.693,7222.922,7533.934,7244.957,7208.164,7586.21,7233.797,7642.057,7460.711,7574.663,7594.004,7231.076,7186.485,7374.204,7360.32,7345.224,7375.428,7547.874,7401.442,7304.302,7439.485,7434.482,7398.256,7281.41,7468.595,7395.419,7510.945,7452.13,7382.279,7413.025,7381.337,7404.025,7494.326,7317.819,7555.378,7400.956,7370.268,7368.376,7367.961,7443.766,7401.896,7409.822,7376.178,7552.227,7362.899,7500.565,7299.037,7341.561,7394.662,7588.326,7406.679,7326.502,7379.184,7484.709,7257.138,7420.723,7426.576,7396.422,7307.25,7346.893,7415.833,7415.083,7686.546,7639.321,7351.039,7478.356,7553.473,7318.584,7319.718,7293.268,7618.399,7364.987,7282.813,7518.007,7364.963
9,547.0136,2021,4,1,3,4,1,1,1,1,1,3,5,6,0,4,7,9,3,2,2,3,5,8,5,3,1,11,1,1,,,,,,3,0,1,1,1,568.3442,557.1453,598.9478,520.014,534.2998,541.8247,616.5532,603.1136,755.2064,603.2962,44.03106,688.9668,539.3485,534.4487,541.0708,578.2408,542.2281,545.5723,541.736,537.934,556.1815,549.5014,550.2213,538.6563,532.1433,593.8811,538.0822,557.752,531.4452,527.8638,535.7283,547.1415,565.8242,551.721,556.4348,538.7685,537.6468,554.6378,548.5737,545.7264,543.6443,555.9018,544.0938,542.7163,560.7677,547.1572,545.6017,549.439,535.5262,541.8588,559.2894,549.0703,543.037,537.0714,548.8736,554.7889,549.5029,542.9672,544.6461,541.2791,544.6234,564.1603,532.6291,557.2573,549.2101,546.8789,538.6641,562.8316,530.9181,546.5949,542.7603,554.243,545.5717,544.6429,551.3555,537.461,547.0552,540.7242,546.274,545.8336,562.0229,551.1985,537.0205,561.8744,539.8407,545.2719,556.8361,546.8834,543.5091,535.8998,547.6852,548.8619,547.4877,540.6119,542.6615,553.0313,544.6177,552.1658,547.567,538.9875
10,8311.392,2021,5,0,4,3,1,0,0,0,1,1,7,1,0,3,7,8,4,1,2,4,7,8,3,7,1,15,1,1,,,,,,3,0,0,1,1,8844.836,8276.107,9192.563,8014.004,8017.925,7909.144,9288.45,9309.09,11195.95,9417.696,9463.681,724.785,8245.911,8286.686,8125.12,8846.831,8167.403,8162.827,8202.491,8239.263,8531.652,8279.629,8399.076,8231.385,8198.146,8881.33,8117.211,8464.22,8119.084,8151.435,8261.196,8251.496,8884.782,8432.197,8386.618,8137.441,8198.564,8073.187,8360.465,8356.951,8362.259,8307.83,8370.31,8292.293,8193.338,8284.634,8218.349,8332.371,8224.567,8377.557,8227.059,8412.43,8380.572,8347.863,8299.728,8423.785,8251.275,8343.985,8336.57,8229.24,8675.825,8254.558,8331.899,8197.557,8295.83,8262.231,8442.595,8139.397,8457.01,8285.086,8303.063,8237.668,8261.234,8340.033,8137.496,8343.868,8367.197,8230.854,8299.714,8154.532,8292.45,8321.742,8230.36,8352.686,8202.442,8471.675,8180.579,8374.447,8294.045,8245.641,8509.98,8235.805,8289.602,8240.092,8350.896,8393.797,8421.873,8496.943,8313.816,8203.532
